137,2020 SPECIALIZED ALLEZ SPRINT FRAMESET 61CM,Teal,999.99,72,Road
138,Marlin 5 Women's,Pink,549.99,54,Road
139,Creo SL Comp Carbon EVO,Green,6499.99,71,Mountain
140,Roubaix Sport - 2020,Pink,2899.99,81,Mountain
141,Allez Elite,Green,1149.99,13,Road
142,Pre-Owned HAMPSTEN CUSTOM 57CM,Green,1699.99,76,Road
143,AWOL Expert,Gray,1499.99,70,Road
144,Journeyman Sora 650,Silver,1199.99,61,Road
145,Marlin 5,White,549.99,18,Road
146,S-Works Roubaix - SRAM Red eTap AXS - 2020,Red,11499.99,72,Road
147,Pre-Owned SPECIALIZED AMIRA SL4 EXPERT ULTEGRA Ui2 51CM,Pink,2399.99,71,Road
148,Allez Sprint Comp Disc,Gray,2199.99,0,Road
149,Allez Sprint Comp Disc,Gray,1749.99,83,Road
150,Demo Eros Ultegra Di2 Enve,Black,5999.99,43,Road
151,DEMO 2018 SPECIALIZED ROUBAIX COMP DISC 54CM,Green,2499.99,74,Road
152,Stigmata Ultegra 700c,Silver,4599.99,0,Road
153,Checkpoint SL 5,Blue,2599.99,46,Road
154,Megatower Carbon CC X01,Green,7199.99,6,Road
155,Diverge E5,White,1099.99,90,Road
156,Maverick C R,Teal,4299.99,97,Road
157,Tarmac SL6 Pro Disc eTap,Purple,6699.99,82,Mountain
158,Allez,Green,874.99,0,Mountain
159,Tarmac Disc Comp - Ultegra Di2,Yellow,3990.00,55,Mountain
160,Creo SL Expert EVO,Yellow,8999.99,31,Mountain
161,Emonda SL 5 Disc,Silver,2499.99,86,Mountain
162,Allez,Blue,699.99,98,Mountain
163,520,Pink,1349.99,62,Mountain
164,Cutthroat Apex 1,Blue,2699.99,4,Mountain
165,S-Works Creo SL,Yellow,13499.99,68,Mountain
166,Tarmac Disc Sport,Yellow,2599.99,35,Mountain
167,2019 Gran Fondo Disc 1.3 56CM,Blue,2599.99,7,Mountain
168,Roscoe 7,Teal,999.99,21,Mountain
169,Diverge Carbon X1,Red,2499.99,31,Mountain
170,S-Works Tarmac Disc – SRAM ETAP,Gray,10999.99,78,Mountain
171,Tarmac Disc,Purple,10999.99,21,Mountain
172,Rockhopper Expert 1X,Black,974.99,93,Mountain
173,Roubaix Pro - SRAM Force eTap AXS - 2020,Black,6999.99,53,Mountain
174,Chameleon D+ 27.5,Teal,1649.99,55,Mountain
175,Chisel 29,Teal,1374.99,60,Mountain
176,Fuse Expert 29,Teal,2149.99,22,Mountain
177,Pre-Owned TREK DOMANE 4.3c DISC 58CM,Purple,1199.99,91,Mountain
178,Men's Chisel Comp X1,White,1399.99,42,Mountain
179,Bronson Aluminum R+,Pink,3149.99,78,Mountain
180,Enduro Expert Carbon 29,Silver,6549.99,74,Mountain
181,Stumpjumper EVO Pro 27.5,Gray,5296.00,50,Mountain
182,Maverick C S,Silver,5199.99,7,Mountain
183,Tallboy Carbon C S,Red,3899.99,49,Mountain
184,Men's Stumpjumper EVO Comp Alloy 29,Pink,3619.99,10,Mountain
185,Supercaliber 9.8,White,5899.99,94,Mountain
186,Epic AXS,Yellow,11019.99,80,Mountain
187,X-Caliber 7,Teal,859.99,99,Mountain
188,Marlin 7,Teal,799.99,75,Mountain
189,Furtado Carbon C S,Purple,4899.99,37,Mountain
190,X-Caliber 8,Black,1199.99,86,Mountain
191,SB 140 T2 AXS,Red,8099.99,0,Mountain
192,Pitch 27.5,Purple,519.99,95,Mountain
193,Roscoe 8,Teal,1649.99,19,Mountain
194,SB100 Carbon GX Comp,Yellow,4499.99,0,Mountain
195,Fuel EX 9.8 29,Teal,4399.99,81,Mountain
196,Slash 9.8,Teal,4099.99,85,Mountain
197,Tallboy Carbon CC XO1 Reserve,Black,8199.99,17,Mountain
198,Megatower Carbon C S,White,5399.99,79,Mountain
199,Men's Stumpjumper Comp Alloy 27.5 – 12-Speed,Pink,3319.99,51,Mountain
200,P.3 Dirt Jumper,Yellow,1099.99,35,Mountain
201,SB 130 C1,White,5399.99,75,Mountain
202,Bronson Carbon C S Reserve,White,6399.99,33,Mountain
203,Tallboy Carbon C S,White,4999.99,21,Mountain
204,Chiron Ultegra Di2 Disc,Red,5999.99,38,Mountain
205,Blur Carbon C S,Silver,4499.99,8,Mountain
206,SB 140 C1,Teal,5399.99,36,Mountain
207,Eros Ultegra Di2 Disc,Silver,5999.99,58,Mountain
208,Hightower Carbon CC XO1,Yellow,7099.99,31,Mountain
209,820,White,399.99,35,Mountain
210,Demo SB130 TURQ XO1 EAGLE SMALL,Teal,6199.99,10,Mountain
211,Bronson Carbon C S,Yellow,5199.99,64,Mountain
212,"DEMO BREEZER LIGHTNING TEAM  27.5+ 17""",Teal,1799.99,77,Mountain
213,Fuel EX 9.8,Pink,5499.99,83,Mountain
214,Weekender Nomad,Pink,1399.99,92,Mountain
215,Domane SL 6,Silver,3799.99,25,Mountain
216,Levo Comp,Yellow,5974.99,34,Mountain
217,Roscoe 8,Black,1249.99,17,Mountain
218,Top Fuel 9.8,Silver,4999.99,84,Mountain
219,Hightower LT Carbon C S 29 Reserve,White,4999.99,48,Mountain
220,Enduro Elite Carbon 29,Teal,4646.75,7,Mountain
221,Stumpjumper ST Alloy 29,Yellow,2009.99,52,Mountain
222,"DEMO TREK SLASH 9.8 29 17.5""",Teal,4299.99,69,Mountain
223,Levo,Yellow,4726.25,24,Mountain
224,"DEMO BREEZER LIGHTING TEAM 27.5+ 17""",Silver,1799.99,25,Mountain
225,Fuel EX 8,Gray,3449.99,76,Mountain
226,"DEMO 2019 BREEZER LIGHTNING TEAM 29 14.5""",Blue,1999.99,67,Mountain
227,Chameleon Carbon C R,Purple,2699.99,98,Mountain
228,Demo SB5 TURQ XO1 RACE LARGE,Green,5599.99,78,Mountain
229,"DEMO BREEZER LIGHTNING TEAM 27.5+ 16""",Purple,1799.99,7,Mountain
230,Flyer,Black,519.99,99,Mountain
231,Tallboy Carbon C S Reserve,White,6199.99,60,Mountain
232,Women's Stumpjumper ST Comp Carbon 29,Green,3799.99,37,Mountain
233,Chisel Comp 29,Teal,1619.99,34,Mountain
234,"DEMO 2019 BREEZER LIGHTNING TEAM 29 17.5""",Pink,1999.99,46,Mountain
235,"DEMO 2019 BREEZER LIGHTNING TEAM 29 16""",Teal,1999.99,30,Mountain
236,"HARO SUBVERT HT7 14.5"" (new bike)",Green,1299.99,54,Mountain
237,Demo SB5 TURQ XO1 RACE MEDIUM,Teal,5599.99,12,Mountain
238,Stumpjumper SRAM AXS 29,Yellow,10519.99,34,Mountain
239,"SE RACING DJ RIPPER 26""",Pink,999.99,37,Mountain
240,Demo SB130 TURQ XO1 EAGLE LARGE,Yellow,6199.99,68,Mountain
241,Tallboy Carbon CC XO1,Pink,6999.99,41,Mountain
242,SE RACING OM DURO 27.5+  (standard size),Blue,949.99,77,Mountain
243,"Pre-Owned LITESPEED SEEWANNE 27.5"" MEDIUM",Red,2499.99,0,Mountain
244,Demo SB130 TURQ XO1 RACE XL,Yellow,5799.99,29,Mountain
245,Stumpjumper EVO Pro 29,Blue,5296.00,78,Mountain
246,Pre-Owned TREK DOMANE 6 PROJECT ONE 54CM,Red,4499.99,67,Mountain
247,Hightower Aluminum R,Red,3499.99,3,Mountain
248,"DEMO BREEZER LIGHTNING PRO  27.5+ 17""",Gray,1699.99,5,Mountain
249,Stumpjumper 29,Blue,2719.99,32,Mountain
250,Fuse Comp 29,Teal,1674.99,99,Mountain
251,Men's Stumpjumper Comp Carbon 29 - 12-Speed,Black,3842.00,13,Mountain
252,Roscoe 7 Women's,Purple,1159.99,50,Mountain
253,Heckler 1.0 CC S,Red,8399.99,62,Mountain
254,Hightower Carbon C S,Red,5199.99,46,Mountain
255,Women's Stumpjumper ST Comp Alloy 29,Purple,2819.99,6,Mountain
256,Rockhopper Comp 1X,Black,729.99,1,Mountain
257,Men's RockHopper Expert,Silver,799.99,13,Mountain
258,Fuse 27.5,Blue,1249.99,95,Mountain
259,Chameleon Aluminum R+,Red,2399.99,62,Mountain
260,CruX,Red,4499.99,94,Mountain
261,Epic Expert EVO,Gray,4349.99,86,Mountain
262,Men's Stumpjumper Comp Alloy 29 – 12-Speed,Purple,3319.99,37,Mountain
263,BREEZER RADAR PRO 45CM (new bike),Blue,1299.99,61,Mountain
264,Fuel EX 8 29,Blue,2949.99,97,Mountain
